"companyName","discountPrice","image"
"Smile Labs","$28",""
"Smile Labs","$28",""
"MedSlim Weight Loss","$46","img.grouponcdn.com/iam/2151UPTjreMo8v5beZgmFYePTihw/21-2048x1229/v1/c414x250q85.jpg"
"Dr. Jay Grossman and Associates","$92","img.grouponcdn.com/deal/qd6PJw2bJfc1Kp1orSgV/Mv-2048x1229/v1/c414x250q85.jpg"
"Beverly Drive Dental Care","$110","img.grouponcdn.com/deal/6wE5rB3HKrhMa8K6EfhA/GL-2048x1229/v1/c414x250q85.jpg"
"Privileged of Beverly Hills","$49","img.grouponcdn.com/deal/3G3SNaa223cLK1n7iUro7jVViNjX/3G-1500x900/v1/c414x250q85.jpg"
"Zakhor Dental Group","$92","img.grouponcdn.com/iam/2fiqsw9JdgFLWbyx34oj4WmDXAqa/2f-2048x1229/v1/c414x250q85.jpg"
"Advanced Teeth Whitening USA","$15","img.grouponcdn.com/deal/gvb5qruDM55gBkotLKTvZD/new-700x420/v1/c414x250q85.jpg"
"Brentwood Dentistry","$43","img.grouponcdn.com/deal/eNeZnLpPybeJUfgNaAkq9k/shutterstock_144244075-1500x900/v1/c414x250q85.jpg"
"Happy Smiles Dental","$60","img.grouponcdn.com/deal/jSNWgW7Bp4vb8fFbN67Q/Ca-2048x1242/v1/c414x250q85.jpg"
"Sanaz Parsi, DDS /Angeleno Smile","$57","img.grouponcdn.com/iam/35X1RzB1BKCQVC1x9GRWS2EoMYek/35-2048x1229/v1/c414x250q85.jpg"
"Danny Shiri, DDS","$119","img.grouponcdn.com/deal/vuJR3YmZ61CPECuBfgVe/u2-2048x1229/v1/c414x250q85.jpg"
"Signature Smiles of LA","$92","img.grouponcdn.com/deal/bXErvsMPgLKimiSDCSNz/E6-2048x1229/v1/c414x250q85.jpg"
"Glamlarule Beauty Bar","$56","img.grouponcdn.com/deal/g6SogSFz7ehhLPBvmGZm/7J-4400x2640/v1/c414x250q85.jpg"
"Advance Dental Studio","$113","img.grouponcdn.com/deal/vQELuKjQCt7akmpw8mtv/jV-2048x1229/v1/c414x250q85.jpg"
"Lotus Family Dental","$87","img.grouponcdn.com/deal/fUk6SeUCeQTeREFyAzTQ/bJ-2048x1229/v1/c414x250q85.jpg"
"AbsClubLA","$52","img.grouponcdn.com/deal/ncAtsHTN76udnTQkyfX1/9u-1000x600/v1/c414x250q85.jpg"
"DazzlingWhiteSmileUSA","$17.99","img.grouponcdn.com/deal/2XduHou9zBmdo1Ta6iV2/88-1197x718/v1/c414x250q85.jpg"
"Universal City Dental","$83","img.grouponcdn.com/deal/s9fAXwEsJttVZffsFBRc/eC-2048x1242/v1/c414x250q85.jpg"
"Dr. Bruce E . King, DDS - Family Dentistry","$150","img.grouponcdn.com/deal/4Ch7DE7F65aoy9bmsMup/X2-2048x1242/v1/c414x250q85.jpg"
"Northridge Advanced Dentistry","$45","img.grouponcdn.com/iam/3icd5idVbVpc8kja29H7rPVVtqgg/3i-2048x1229/v1/c414x250q85.jpg"
"Summy Abbassi DDS","$249","img.grouponcdn.com/deal/3Yps3j2nw1cVpXisZxbN85UsBXxa/3Y-700x420/v1/c414x250q85.jpg"
"Comfort Dental Group","$69","img.grouponcdn.com/iam/k9grpq9cMhJgyeFB4qgk/kc-2048x1229/v1/c414x250q85.jpg"
"Design Dental Spa","$60","img.grouponcdn.com/deal/qd6PJw2bJfc1Kp1orSgV/Mv-2048x1229/v1/c414x250q85.jpg"
"Diamond White USA","$13.99","img.grouponcdn.com/deal/59c9MMrQoLXhP88xSxRW/1j-700x420/v1/c414x250q85.jpg"
"La Beaute Spa","$43","img.grouponcdn.com/deal/jcnY5i3SpSNYtAF1gxh/wd-2048x1229/v1/c414x250q85.jpg"
"Vivid Smiles Express","$69","img.grouponcdn.com/deal/iuLkmdRcgvQVsiLQTRV9/w2-2048x1242/v1/c414x250q85.jpg"
"Encino Dental Center","$92","img.grouponcdn.com/iam/8gA5qQkYPbmcMZSJMx5L/Ps-2048x1229/v1/c414x250q85.jpg"
"Encino Boutique Dentistry","$95","img.grouponcdn.com/deal/imuGJVfMYeVD1cGbsyec/PY-2048x1229/v1/c414x250q85.jpg"
